//b = MountBone / p = PoseID / x= OffsetX / y =OffsetY / H= Height / S =Mountscale
//ID	MountName	Iteminfo	Characterinfo	B/P/X/Y/H/S-Lance	B/P/X/Y/H/S-Carsise	B/P/X/Y/H/S-Phyllis	B/P/X/Y/H/S-Ami
16	Public mount (Blue wolf)	19516	1657	2,30,20,0,75,1	2,30,45,0,65,1.1	2,16,30,0,40,1	2,16,25,0,30,0.8
17	Public mount (Leopard king)	19517	1658	2,30,15,0,75,1	2,30,30,0,70,1.1	2,16,25,0,30,1	2,16,20,0,20,0.8
18	Public mount (King crab)	19518	1659	2,30,-15,0,55,0.06	2,30,-10,5,60,0.06	2,16,-10,0,30,0.05	2,16,0,0,10,0.05
19	Public mount (Daddy)	19519	1660	2,30,60,0,75,1	2,30,75,0,70,1.1	2,16,40,0,20,1	2,16,40,0,20,0.8
21	Public mount (Purple dragon)	19521	1662	2,30,0,0,75,1	2,30,10,0,70,1.1	2,16,10,0,30,1	2,16,10,0,20,0.8
22	Public mount (Magic broom)	19522	1663	2,30,-15,0,55,1	2,30,-10,0,60,1.1	2,16,-10,0,35,1	2,16,0,0,20,0.8
23	Public mount (Helicopter)	19523	1664	2,30,95,0,75,1	2,30,110,0,65,1.1	2,16,80,0,25,1	2,16,95,0,30,0.8
24	Public mount (Missile)	19524	1665	2,30,25,0,75,1	2,30,50,0,75,1.1	2,16,15,0,20,1	2,16,30,0,15,0.8

25	Christmas chicken	19525	928	2,30,0,0,0,1	2,30,0,0,0,1.3	2,16,10,0,-20,1	2,16,10,0,-20,0.8
26	Christmas Reindeer	19526	1190	2,30,-65,0,15,1	2,30,-80,0,0,1.3	2,16,-70,0,-15,1	2,16,-55,0,-20,1

30	Private mount (unknown)	19531	1801	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
31	Private mount (unknown)	19532	1802	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
32	Private mount (unknown)	19533	1803	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
33	Private mount (unknown)	19534	1804	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
34	Private mount (unknown)	19535	1805	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
35	Private mount (unknown)	19536	1806	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
36	Private mount (unknown)	19537	1807	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
37	Private mount (unknown)	19538	1808	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
38	Private mount (unknown)	19539	1809	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
39	Private mount (unknown)	19540	1810	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
40	Private mount (unknown)	19541	1811	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
41	Private mount (unknown)	19542	1812	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
42	Private mount (unknown)	19543	1813	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
43	Private mount (unknown)	19544	1814	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
44	Private mount (unknown)	19545	1815	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
45	Private mount (unknown)	19546	1816	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
46	Private mount (unknown)	19547	1817	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
47	Private mount (unknown)	19548	1818	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
48	Private mount (unknown)	19549	1819	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
49	Private mount (unknown)	19550	1820	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
50	Private mount (unknown)	19551	1821	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
51	Private mount (unknown)	19552	1822	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
52	Private mount (unknown)	19553	1823	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
53	Private mount (unknown)	19554	1824	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
54	Private mount (unknown)	19555	1825	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
55	Private mount (unknown)	19556	1826	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
56	Private mount (unknown)	19557	1827	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
57	Private mount (unknown)	19558	1828	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
58	Private mount (unknown)	19559	1829	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
59	Private mount (unknown)	19560	1830	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
60	Private mount (unknown)	19561	1831	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
61	Private mount (unknown)	19562	1832	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
62	Private mount (unknown)	19563	1833	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
63	Private mount (unknown)	19564	1834	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
64	Private mount (unknown)	19565	1835	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
65	Private mount (unknown)	19566	1836	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
66	Private mount (unknown)	19567	1837	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
67	Private mount (unknown)	19568	1838	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
68	Private mount (unknown)	19569	1839	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
69	Private mount (unknown)	19570	1840	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
70	Private mount (unknown)	19571	1841	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
71	Private mount (unknown)	19572	1842	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
72	Private mount (unknown)	19573	1843	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
73	Private mount (unknown)	19574	1844	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
74	Private mount (unknown)	19575	1845	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
75	Private mount (unknown)	19576	1846	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
76	Private mount (unknown)	19577	1847	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
77	Private mount (unknown)	19578	1848	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
78	Private mount (unknown)	19579	1849	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
79	Private mount (unknown)	19580	1850	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
