//ID	Skill Name	Skill name Ru	Identify if it is a lifeskill	View to Interface	is level up	use in mount	Class	Left Handed Requirement	Right hand weapon restriction	Body Armor Requirement	Conch usage test	Skill Phase	Skill Type	Useful/Harmful	Learning Level	-1uisite	Skill Points Consumption	Discharged Status	Apply point	Cast Range	Process target	Attack mode	Angle	Radius	Skill region shape	Skill prophase management formula	Skill adds surface status formula	Skill SP Formula	Durability consumption formula	Top-up consumption formula	Skill Region Formula	Discharge phase formula	effect phase formula	Positive effect forumala	Opposing effect formula	Bind status ID can be removed manually	Self parameter	Self Effect	Consumable	Duration	Target parameter	Splash parameter	Duration on target	Splash Persists Effect	Morph ID	Summon ID	Discharge Duration	Repeated Discharge Duration	Damage Effect	Play Action	action	keyframe	Attack Sound Effect	character dummy	Character Effect	Base Standard Value	item dummy	Item Effect	Item Effect 2	Path of Flight keyfram	character dummy2	item dummy3	Path of Flight Effect	Path of Flight speed	Attacked Sound Effect	dummy	Character attacked effect	Effect duration point	Surface attacked effect	Water Surface Effect	ICON	Skill Play Count	Operation Execute Command	Description	Effect	Consumption	Remark
11	Cannon Barrage	Cannon Barrage	1	1	1	0	3,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	4	2	45	1000	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	0	hp=hp(1)-sklv(0)*300	0	0	0	0	0	0	800	2	1	1	-1	115	1	137	0	-1	0,0	0,0	-1	2	-1	1017	1400	139	-1	118	0	0	0	0	0	0	Release a volley of cannon attacks at target	0	0	0
12	Sound Burst	Sound Burst	1	1	1	0	3,10	1,0;1,6	1,0;1,6	1,-1	-1	3	1	0	-1	-1	1	1	1	450	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*20	0	0	0	0	0	0	1000	1	1	11	0	116	9	119	0	-1	0,0	0,0	-1	-1	-1	0	0	140	-1	138	0	0	0	0	0	0	Release a force that damages target from a distance	0	0	0
13	Cyclone	Cyclone	1	1	1	0	16,1	1,-1	1,-1	1,-1	6,1,29	2	1	0	85	-1	1	1	1	600	4	2	0	0	1	0	0	SkillSp_Cyclone	0	SkillEnergy_Cyclone	SkillArea_Circle_Cyclone	0	Skill_Cyclone_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Cyclone	1	1	11,0,0	-1	-1	-1	0	0	0	0	0	0	-1	-1	1067	1800	147	-1	0	-2	223	0	x1072.png	0	0	Blinds enemies within a certain radius.	Blinds enemies for 1 second. Cooldown 20 sec. Requires Seabass Coral or Impact Coral	Consumes 23 SP	0
14	Disguise	Disguise	1	1	1	0	4,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	0	0	0	0	0	36	0	0	100000	1	1	11	-1	118	9	140	0	-1	0,0	0,0	-1	-1	-1	0	0	142	-1	0	0	0	0	0	0	0	Morph into summoned monster	0	0	0
15	Mudflow	Mudflow	1	1	1	0	16,10	1,-1	1,-1	1,-1	-1	2	1	0	85	-1	1	1	1	0	4	2	0	0	4	0	0	SkillSp_Mudflow	0	0	SkillArea_Circle_Mudflow	0	Skill_Mudflow_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Mudflow	1	1	10	0	78	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	323	-1	326	0	s0077.png	0	0	Slows surrounding enemies and deals minor damage to them.	Effect time 1.5 sec. + 0.15 sec per skill level. Damage 80% of attack. Cooldown 10 sec. Requires Seabass Coral or Impact Coral	Consumes 125 SP	0
16	Inspiration	Inspiration	1	1	1	0	16,10	1,-1	1,-1	1,-1	-1	2	2	1	85	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	0	0	0	0	x1018.png	0	0	Increases the damage of a Coral Beam when it hits the same target again up to 10 times.	Adds 15% damage per skill level. Requires Seabass Coral or Impact Coral	Passive	0
17	Sacred Ray	Sacred Ray	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	3	1000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-10	0	0	0	hp=hp(1)+sklv(0)*50	0	0	0	0	0	0	10000-sklv(0)*500	1	1	11	-1	121	-1	123	0	-1	0,0	0,0	-1	-1	-1	0	0	145	-1	124	0	0	0	0	0	0	Heals a small amount of HP and damages undead	0	0	0
18	Guardian Angel	Guardian Angel	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	3	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	0	0	0	0	0	0	0	0	5000	0	1	11	-1	122	-1	143	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	Summon an angel to fight for you. Appearances change with skill level	0	0	0
19	Benediction	Benediction	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	2	2	360	300	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-50	0	0	10000	hp=hp(1)+sklv(0)*30	0	0	0	0	0	0	12000	1	1	11	-1	123	9	125	0	-1	0,0	0,0	-1	-1	-1	0	0	147	2	126	0	0	0	0	0	0	Bring an area of friendly targets out of abnormal status	0	0	0
20	Invoke	Invoke	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	2	2	360	300	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	10000	sp=sp(1)+sklv(0)*30	0	0	0	0	0	0	20000	1	1	11	-1	124	2	144	0	-1	0,0	0,0	-1	-1	-1	0	0	148	2	145	0	0	0	0	0	0	Recover TP of friendly targets within a certain area while stationary	0	0	0
22	Fallen Pharaoh	Fallen Pharaoh	1	1	1	0	-1,10	1,-1	1,-1	1,-1	-1	5	1	0	-1	-1	1	1	1	400	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	-1	-1	-1	147	0	-1	0,0	0,0	-1	-1	-1	0	0	150	-1	0	0	0	0	0	0	0	Morph into a Mummy Pharaoh	0	0	0
23	Venom Cloud	Venom Cloud	1	1	1	0	-1,10	1,-1	1,-1	1,-1	-1	5	2	0	-1	-1	1	1	1	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,-1	0	-1	hp=hp(1)-sklv(0)*50	0	0	0	0	0	0	0	1	1	1	-1	-1	-1	128	0	-1	0,0	0,0	-1	-1	-1	0	0	151	-1	0	0	0	0	0	0	0	Create an area of poisonous cloud that slows and poisons	0	0	0
24	Fireshield	Fireshield	1	1	1	0	-1,10	1,-1	1,-1	1,-1	-1	5	1	0	-1	-1	1	1	3	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	-1	128	2	148	0	-1	0,0	0,0	-1	-1	-1	0	0	152	2	153	0	0	0	0	0	0	Create a burning shield that damages targets within contact	0	0	0
25	Bare Hand	Bare Hand	1	0	1	0	-1,10	1,0;1,11;1,29	1,0	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	118	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	119	2	131	0	0	0	s25sk.png	1	0	0	0	0	0
26	Dual Implosion	Dual Implosion	1	0	1	0	-1,10	1,-1	1,-1	1,-1	-1	1	0	0	-1	-1	1	1,2	3	800	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)*2	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	117	2	130	0	0	0	0	0	0	0	0	0	0
27	Cannon Shot	Cannon Shot	1	0	1	0	-1,10	1,-1	1,-1	1,-1	-1	3	0	0	-1	-1	1	2	3	1000	4	2	360	0	4	0	0	0	0	0	SkillArea_Circle_Paodan	0	Skill_Paodan_End	0	0	0	sp=sp(0)-30	0	0	0	hp=hp(1)-sklv(0)*200	0	0	0	0	0	0	1000	2	1	7	-1	146	2	284	0	-1	0,0	0,0	-1	2	-1	1049	1600	147	-1	0	0	316	315	s0226.png	0	0	Fragments will deal damage to targets within range	0	0	0
28	Sword	Sword	1	0	1	0	-1,10	1,0;1,11	1,1	1,-1	-1	0	0	0	-1	-1	1	1	3	150	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	124	2	131	0	0	0	s28sk.png	1	0	0	0	0	0
29	Greatsword	Greatsword	1	0	1	0	-1,10	1,-1	1,2	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	126	2	131	0	0	0	s29sk.png	1	0	0	0	0	0
30	Bow	Bow	1	0	1	0	-1,10	1,3	1,-1	1,-1	-1	0	0	0	-1	-1	1	1	3	900	4	1	0	0	0	0	0	0	0	0	0	Skill_Range_Begin	Skill_Range_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	2	1	7,8,9	0	128	-1	0	0	-1	0,0	0,0	0	6	-1	1022	4000	-1	2	131	0	0	0	s30sk.png	1	0	0	0	0	0
31	Firegun	Firegun	1	0	1	0	-1,10	1,-1	1,4	1,-1	-1	0	0	0	-1	-1	1	1	3	700	4	1	0	0	0	0	0	0	0	0	0	Skill_Range_Begin	Skill_Range_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	2	1	7,8,9	0	130	-1	0	0	-1	0,0	0,0	0	-1	1	1015	4000	-1	2	131	0	0	0	s31sk.png	1	0	0	0	0	0
32	Blade	Blade	1	0	1	0	-1,10	1,-1	1,5	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	136	2	131	0	0	0	s32sk.png	1	0	0	0	0	0
33	Boxing Gloves	Boxing Gloves	1	0	1	0	-1,10	1,-1	1,6	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	138	2	131	0	0	0	s33sk.png	1	0	0	0	0	0
34	Dagger	Dagger	1	0	1	0	-1,10	1,-1	1,7	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	134	2	131	0	0	0	s34sk.png	1	0	0	0	0	0
35	Gold Pouch	Gold Pouch	1	0	1	0	-1,10	1,-1	1,8	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	140	2	131	0	0	0	s35sk.png	1	0	0	0	0	0
36	Short Staff	Short Staff	1	0	1	0	-1,10	1,-1	1,9	1,-1	-1	0	0	0	-1	-1	1	1	3	900	4	1	0	0	0	0	0	0	0	0	0	Skill_lackart_Begin	Skill_lackart_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	2	1	7,8,9	0	128	-1	0	0	-1	0,0	0,0	0	6	-1	1015	4000	-1	2	131	0	0	0	s36sk.png	1	0	0	0	0	0
37	Hammer	Hammer	1	0	1	0	-1,10	1,-1	1,10	1,-1	-1	0	0	0	-1	-1	1	1	3	150	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	144	2	131	0	0	0	s37sk.png	1	0	0	0	0	0
38	Dual Weapon	Dual Weapon	1	0	1	0	-1,10	1,1	1,1	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	Skill_Melee_Begin	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	150	2	131	0	0	0	s38sk.png	1	0	0	0	0	0
39	Login	Login	0	1	1	0	-1,10	1,-1	1,-1	1,-1	-1	0	0	1	-1	-1	1	2	1	1500	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	land.png	0	3,4	0	0	0	0
40	Set Sail	Set Sail	0	1	1	0	-1,10	1,-1	1,-1	1,-1	-1	0	0	1	-1	-1	1	1	2	1500	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	ship.png	0	1,2	0	0	0	0
42	Ink Blast	Ink Blast	1	1	1	0	-1,10	1,-1	1,-1	1,-1	-1	-1	-1	0	-1	-1	1	1	3	500	4	1	0	0	0	0	0	0	0	0	0	Skill_Range_Begin	Skill_Range_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Gwptjn	2	1	7	-1	151	-1	0	0	-1	0,0	0,0	0	2	-1	1024	1600	-1	2	226	0	0	0	s42sk.png	0	0	0	0	0	0
43	Tempest Slash	Tempest Slash	1	1	1	0	1,10	1,1	1,1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jfz_Use	Skill_Jfz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0011.png	0	0	0	0	0	0
44	Gun Research	Gun Research	1	1	1	0	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Qxyj_Use	Skill_Qxyj_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0038.png	0	0	0	0	0	0
45	Angel Blessing	Angel Blessing	1	1	1	0	6,10	1,-1	1,0;1,9	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Tsqy	0	0	0	0	Skill_Tsqy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Tsqy	0	1	7	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	164	0	0	0	s0061.png	0	0	0	0	0	0
46	Parlay Hit	Parlay Hit	1	1	1	0	1,10	1,-1	1,2	1,-1	-1	2	2	0	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Smyb_Use	Skill_Smyb_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0003.png	0	0	0	0	0	0
47	Phantom Slash	Phantom Slash	1	1	1	0	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Gz	0	0	0	0	Skill_Gz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	7	0	-1	-1	0	0	1	122,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0015.png	0	0	0	0	0	0
48	Cure	Cure	1	1	1	0	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Jd	0	0	0	0	Skill_Jd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Jd	0	1	11	0	-1	-1	0	0	1	126,0	0,0	-1	-1	-1	0	0	-1	-1	128	0	0	0	s0019.png	0	0	0	0	0	0
49	Blind	Blind	1	1	1	0	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Cm	0	0	0	0	Skill_Cm_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Zjcm	0	1	7	0	-1	-1	0	0	1	126,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0020.png	0	0	0	0	0	0
50	Protective Shield	Protective Shield	1	1	1	0	1,10	1,11	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Zhzd_Use	Skill_Zhzd_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0022.png	0	0	0	0	0	0
51	Frost Shield	Frost Shield	1	1	1	0	1,10	1,11	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Bshd	0	0	0	0	Skill_Bshd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bshd	0	1	7	0	11	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	129	0	0	0	s0024.png	0	0	0	0	0	0
52	Refined Gunpowder	Refined Gunpowder	1	1	1	0	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jlhy_Use	Skill_Jlhy_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0052.png	0	0	0	0	0	0
53	Attack Weakness	Attack Weakness	1	1	1	0	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Rdgj_Use	Skill_Rdgj_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0040.png	0	0	0	0	0	0
54	Angel Blessing	Angel Blessing	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Qy_Use	Skill_Qy_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0049.png	0	0	0	0	0	0
55	Benediction	Benediction	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Zf_Use	Skill_Zf_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0050.png	0	0	0	0	0	0
56	Inferno Wings	Inferno Wings	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Lyzy	0	0	0	0	Skill_Lyzy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Lyzy	0	1	11	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	151	0	0	0	s0055.png	0	0	0	0	0	0
57	Holy Beam	Holy Beam	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Shzg	0	0	0	0	Skill_Shzg_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Shzg	0	1	11	0	-1	-1	137	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	153	0	0	0	s0056.png	0	0	0	0	0	0
58	Holy Heraldry	Holy Heraldry	1	1	1	0	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Szwz	0	0	0	0	Skill_Szwz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	11	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	162	0	0	0	s0060.png	0	0	0	0	0	0
