//ID	Model Type	Logic Type	Framework Number	Suite Serial	Lab	Part 00	Part 01	Part 02	Part 03	Part 04	Part 05	Part 06	Part 07	FeffID	EeffID	Special Effect Action Serial	Shadow	Action ID	Transparency	Actions	Breathing Sound Effect	Death Sound Effect	Can it be controlled	Area Limitation	Altitude Excursion	Items that can be equipped	length	width	height	Collision Range	Birth	Dead	Birth Effect	Death Effect	Hibernate Action	Death Instant Action	Remaining HP Effect Display	Attack can be swerve	Confirm to use blown away	script	Weapon used	Skill ID	1	2	Monster Skill Rate	drop list	Rate	Quantity Limit	Fatality Rate	Prefix Level	Quest Drop ID	Rate2	ai	turning	vision	noise	getexp	light	mobexp	lv	mxhp	hp	mxsp	sp	mnatk	mxatk	resist	def	hit	flee	crt	mf	hrec	srec	aspd	adis	chase_adis	mspd	col	str	agi	acc	con	spr	luk	left_rad	guild	title	job	exp	nexp	fame	ap	tp	gd	spri	stor	mxsail	sail	stasa	scsm	tstr	tagi	tdex	tcon	tsta	tluk	tmxhp	tmxsp	tatk	tdef	thit	tflee	tmf	tcrt	threc	tsrec	taspd	tadis	tspd	tspri	tscsm	chasf	Wcode
26	Shaitan Inn	xxxx	4	2	120	0	1	1	0	0	0	0	0	0	0	0	0	0	1	22	100	-1	-1	-1	0	0	0	0	0.849	0.914	1.818	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	0	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	53844
27	Shaitan Banker	xxxx	4	2	123	0	1	1	0	0	0	0	0	0	0	0	0	0	1	16	100	-1	-1	-1	0	0	0	0	0.733	0.77	2.143	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	0	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	65780
28	Thundoria Shop	xxxx	4	2	125	0	1	1	0	0	0	0	0	0	0	0	0	0	1	13	100	-1	-1	-1	0	0	0	0	1.108	1.667	2.592	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	0	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	59804
29	Nurse	xxxx	4	2	126	0	1	1	0	0	0	0	0	0	0	0	0	0	1	16	100	-1	-1	-1	0	0	0	0	0.644	1.052	2.063	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	0	1500	0	0	155	155	155	155	155	155	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	70348
30	Shaitan Service	xxxx	4	2	127	0	1	1	0	0	0	0	0	0	0	0	0	0	1	16	100	-1	-1	-1	0	0	0	0	0.644	1.052	2.063	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	0	1500	0	0	155	155	155	155	155	155	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	74700
31	Armored Crab	xxxx	4	5	12	0	1	1	0	0	0	0	0	0	0	469	0	0	1	31	100	287	288	289	0	0	0	0	1.326	1.557	0.692	60	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4490,1689,1655,1662,3388,20103,20103,684	152,514,1111,1666,2000,40000,80000,160000	0	0	0	0	0	5	1	1000	0	0	1	0	15	480	0	10000	0	48	73	15	50	48	48	10	183	2	0	2000	200	1500	250	0	27	12	12	12	12	12	20	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	33636
32	Sharp Beak	xxxx	4	5	13	0	1	1	0	0	0	0	0	0	0	461	0	0	1	32	100	248	249	250	0	0	0	0	2.111	2.723	3.158	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4337,1707,1620,3116,3387,20103,20103	139,763,833,2500,1666,100000,200000	0	0	0	0	0	5	1	1000	0	0	1	0	13	210	0	10000	0	30	45	6	27	42	42	10	185	2	0	1000	250	1500	350	0	11	37	11	11	11	11	20	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	33172
34	Horned Penguin	xxxx	4	5	16	0	1	1	0	0	0	0	0	0	0	0	0	0	1	34	100	373	374	375	0	0	0	0	0.994	1.18	1.513	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4341,4425,1709,3149,3381,20103,20103,684	208,285,1428,1250,1428,66666,133333,160000	0	0	0	0	0	5	1	1000	0	0	1	0	15	300	0	10000	0	48	73	7	32	48	48	10	183	2	0	2000	250	1500	250	0	12	12	27	42	12	12	20	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	24656
35	Black Bobcat	xxxx	4	5	17	0	1	1	0	0	0	0	0	0	0	0	0	0	1	35	100	200	201	202	0	0	0	0	0.932	0.849	2.057	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	1490,1501,1743,3367,20113,20114,3140	188,333,1111,3333,33333,80000,2000	0	0	0	0	0	10	1	1000	0	0	1	0	75	6000	0	10000	0	514	771	27	157	264	297	10	115	8	0	2000	200	1500	350	0	79.5	42	117	192	42	42	20	0	0	0	6091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	33480
36	Feral White Bobcat	xxxx	4	5	18	0	1	1	0	0	0	0	0	0	0	0	0	0	1	36	100	200	201	202	0	0	0	0	0.932	0.849	2.057	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	1486,1497,1743,1786,20113,20114,3127	208,333,1428,3571,33333,100000,1666	1	0	0	0	0	10	1	1000	0	0	1	0	70	6096	0	10000	0	460	690	28	147	246	282	10	120	8	0	2000	200	1500	350	0	75	110	40	110	40	40	20	0	0	0	5079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	33480
37	Pumpkin Knight	xxxx	4	5	19	0	1	1	0	0	0	0	0	0	0	456,457	0	0	1	37	100	257	258	259	0	0	0	0	1.373	1.398	2.089	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4809,4913,1631,3370,3124,20109,20109	1666,294,5000,33333,2500,33333,50000	0	0	0	0	0	10	1	1000	0	0	1	0	46	2800	0	10000	0	231	346	20	45	152	152	10	147	5	0	2000	200	1500	350	0	120	28	28	28	28	28	20	0	0	0	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	63216
38	Tribal Shaman	xxxx	4	5	20	0	1	1	0	0	0	0	0	0	0	0	0	0	1	38	100	281	282	283	0	0	0	0	2.56	2.322	3.035	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4815,4919,1657,3361,3136,20110,20111,1092	139,763,1000,3333,3333,25000,28571,83333	0	0	0	0	0	10	1	1000	0	0	1	0	55	2900	0	10000	0	308	462	22	60	183	227	10	137	6	0	2000	200	1500	300	0	87	32	87	59	32	32	20	0	0	0	2701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	55460
39	Sea Snail	xxxx	4	5	21	0	1	1	0	0	0	0	0	0	0	0	0	0	1	39	100	227	228	229	0	0	-25	0	1.407	1.301	1.048	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4330,4411,3147,1614,3388,20102,20102	172,370,1111,303,10000,13333,26666	0	0	0	3964	200	5	1	1000	0	0	1	0	8	126	0	10000	0	21	32	15	18	25	25	10	190	1	0	3000	200	1500	180	0	9	9	25	25	9	9	20	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	19604
40	Manbeast Captain	xxxx	4	5	22	0	1	1	0	0	0	0	0	0	0	451	0	0	1	40	100	431	432	-1	0	0	0	0	3.731	4.119	3.324	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	10	1	1000	0	0	1	0	80	6578	0	10000	0	576	864	32	167	272	272	10	109	9	0	2000	350	1500	300	0	205	45	45	165	45	45	20	0	0	0	7222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	68436
41	Iron Mummy	xxxx	4	5	23	0	1	1	0	0	0	0	0	0	0	0	0	0	1	41	100	-1	-1	-1	0	0	0	0	0.977	1.474	2.897	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4779,4883,1657,3391,3135,20110,20111	144,627,1428,100000,3333,50000,100000	0	0	0	0	0	10	1	1000	0	0	1	0	53	5499	0	320	0	232	348	23	135	176	171	10	139	22	0	2000	350	1500	450	0	31	137	31	31	84	31	20	0	0	0	2453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	44444
42	Steel Mummy	xxxx	4	5	24	0	1	1	0	0	0	0	0	0	0	455	0	0	1	42	100	-1	-1	-1	0	0	0	0	1.097	1.532	2.901	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4780,4884,1643,3389,3135,20110,20111,1092	208,285,3333,3333,3333,25000,28571,83333	0	0	0	0	0	10	1	1000	0	0	1	0	54	5538	0	341	0	239	358	24	138	180	174	10	138	22	0	2000	350	1500	450	0	59	86	32	32	86	32	20	0	0	0	2575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	48240
43	Killer Cactus	xxxx	4	5	25	0	1	1	0	0	0	0	0	0	0	0	0	0	1	43	100	293	294	295	0	0	0	0	1.274	2.13	2.999	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4338,4421,1692,3131,1752,20103,20103	156,476,769,2000,1428,66666,133333	0	0	0	4097	333	5	1	1000	0	0	1	0	14	192	0	10000	0	60	91	6	30	35	45	10	184	2	0	3000	250	1500	200	0	19	12	12	54	12	12	20	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	46624
44	Blackarrow Squid	xxxx	4	5	26	0	1	1	0	0	0	0	0	0	0	460	0	0	1	44	100	434	435	436	0	1	-40	0	6.154	6.275	2.723	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4924,1188,1279,1804,3120	185,322,285,2000,1428	0	0	0	0	0	5	1	1000	0	0	1	0	30	704	0	115	0	236	354	10	39	102	112	10	166	8	0	2000	300	1500	500	0	50	20	20	80	20	20	20	0	0	0	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	45404
45	Sand Bandit	xxxx	4	5	27	0	1	1	0	0	0	0	0	0	0	459	0	0	1	45	100	405	406	407	0	0	0	0	1.806	1.682	2.005	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	1698,4434,1661,1779,3399,20104,20104,684	204,285,714,2000,1250,55555,111111,80000	0	0	0	4234	10000	10	1	1000	0	0	1	0	22	1020	0	10000	0	64	96	10	51	71	71	10	175	3	0	2000	250	1500	350	0	38	38	16	16	16	16	20	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	57716
46	Snowy Bat	xxxx	4	5	28	0	1	1	0	0	0	0	0	0	0	0	0	0	1	46	100	425	426	427	0	0	0	0	0.81	1.483	1.725	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	1708,4427,1618,1628,3120,20103,20104,684	147,588,909,5000,1250,76923,153846,160000	0	0	0	0	0	10	1	1000	0	0	1	0	16	388	0	10000	0	38	57	7	35	51	51	10	181	2	0	1000	200	1500	380	0	21	45	13	13	13	13	20	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	46792
47	Palace Guard	xxxx	4	5	30	0	1	1	0	0	0	0	0	0	0	0	0	0	1	47	100	-1	-1	-1	0	0	0	0	1.954	2.185	4.311	40	1,5	2,5	399	394	0	0	0	1	1	0	0	25	100	4781,4885,1657,3389,3137,20110,20111,1092	222,285,1111,2857,3333,50000,33333,83333	0	0	0	0	0	10	1	1000	0	0	1	0	57	5941	0	215	0	259	388	25	145	190	182	10	135	23	0	2000	350	1500	450	0	118.5	33	33	90	33	33	20	0	0	0	2965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	61008
48	Humpy Camel	xxxx	4	5	29	0	1	1	0	0	0	0	0	0	0	452	0	0	1	48	100	408	409	410	0	0	0	0	3.209	1.157	2.09	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	4486,1695,1610,1623,1617,4308,20102	208,285,909,1111,10000,10000,20000	0	0	0	0	0	5	1	1000	0	0	1	0	6	105	0	10000	0	12	19	3	6	19	19	10	193	1	0	1000	300	1500	380	0	11	8	14	8	8	8	20	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1	38072
